college_code,cast,cutoff,year,tier
1,BC,199.5,2020,1
1,BC,199.5,2021,1
1,BC,200.0,2022,1
1,BC,199.5,2023,1
1,BC,199.5,2024,1
1,BCM,198.5,2020,1
1,BCM,198.5,2021,1
1,BCM,199.5,2022,1
1,BCM,198.5,2023,1
1,BCM,198.5,2024,1
1,MBC,199.5,2020,1
1,MBC,199.5,2021,1
1,MBC,199.5,2022,1
1,MBC,199.5,2023,1
1,MBC,199.5,2024,1
1,MBCDNC,199.5,2022,1
1,OC,200.0,2020,1
1,OC,200.0,2021,1
1,OC,200.0,2022,1
1,OC,200.0,2023,1
1,OC,200.0,2024,1
1,SC,197.5,2020,1
1,SC,197.5,2021,1
1,SC,197.5,2022,1
1,SC,197.5,2023,1
1,SC,197.5,2024,1
1,SCA,196.0,2020,1
1,SCA,196.0,2021,1
1,SCA,197.5,2022,1
1,SCA,196.0,2023,1
1,SCA,195.0,2024,1
1,ST,193.0,2020,1
1,ST,193.0,2021,1
1,ST,197.5,2022,1
1,ST,193.0,2023,1
1,ST,197.5,2024,1
2,BC,190.5,2020,1
2,BC,190.5,2021,1
2,BC,190.5,2022,1
2,BC,190.5,2023,1
2,BC,190.5,2024,1
2,BCM,190.5,2020,1
2,BCM,190.5,2021,1
2,BCM,190.5,2022,1
2,BCM,190.5,2023,1
2,BCM,190.5,2024,1
2,MBC,189.5,2020,1
2,MBC,189.5,2021,1
2,MBC,189.5,2022,1
2,MBC,189.5,2023,1
2,MBC,189.5,2024,1
2,OC,192.5,2020,1
2,OC,192.5,2021,1
2,OC,192.5,2022,1
2,OC,192.5,2023,1
2,OC,192.5,2024,1
2,SC,181.5,2020,1
2,SC,181.5,2021,1
2,SC,181.5,2022,1
2,SC,181.5,2023,1
2,SC,151.5,2024,1
2,SCA,180.5,2020,1
2,SCA,180.5,2021,1
2,SCA,180.5,2022,1
2,SCA,180.5,2023,1
2,ST,175.5,2020,1
2,ST,175.5,2021,1
2,ST,175.5,2022,1
2,ST,175.5,2023,1
2,ST,181.5,2024,1
3,BC,179.0,2020,1
3,BC,179.0,2021,1
3,BC,179.0,2022,1
3,BC,179.0,2023,1
3,BC,179.0,2024,1
3,BCM,178.0,2020,1
3,BCM,178.0,2021,1
3,BCM,178.0,2022,1
3,BCM,178.0,2023,1
3,BCM,178.0,2024,1
3,MBC,179.0,2020,1
3,MBC,179.0,2021,1
3,MBC,179.0,2022,1
3,MBC,179.0,2023,1
3,MBC,179.0,2024,1
3,OC,187.0,2020,1
3,OC,187.0,2021,1
